Frequency (GHz)	S21	S11
3.00E-05	-0.94073	-58.31292
0.03503	-0.04591	-18.61363
0.07003	-0.29904	-13.00767
0.10503	-0.64306	-9.95542
0.14003	-1.06537	-7.78266
0.17503	-1.54224	-6.25715
0.21003	-1.97328	-5.28327
0.24503	-2.431	-4.4859
0.28003	-3.01377	-3.75059
0.31503	-3.51116	-3.24863
0.35003	-3.89689	-2.94888
0.38503	-4.49684	-2.59375
0.42003	-5.19784	-2.29459
0.45503	-5.65692	-2.13549
0.49003	-6.25238	-1.98119
0.52503	-7.14317	-1.80647
0.56003	-7.83774	-1.72298
0.59503	-8.42176	-1.65465
0.63003	-9.30314	-1.54734
0.66503	-10.09131	-1.4909
0.70003	-10.52441	-1.38255
0.73503	-11.11925	-1.23087
0.77003	-11.80582	-1.20395
0.80503	-12.06921	-1.11778
0.84003	-12.3826	-1.02014
0.87503	-12.99491	-0.99
0.91003	-13.21086	-0.98
0.94503	-13.29067	-0.9799
0.98003	-13.82029	-0.9791
1.01503	-14.41451	-0.97811
1.05003	-14.35462	-0.88517
1.08503	-14.44262	-0.81311
1.12003	-15.26337	-0.75618
1.15503	-15.6821	-0.71026
1.19003	-15.41693	-0.67242
1.22503	-15.93632	-0.6405
1.26003	-16.53754	-0.61293
1.29503	-16.08731	-0.58854
1.33003	-15.99566	-0.56647
1.36503	-16.25843	-0.54612
1.40003	-15.73994	-0.52703
1.43503	-15.3981	-0.50891
1.47003	-15.8352	-0.49157
1.50503	-15.42659	-0.4749
1.54003	-15.09843	-0.45889
1.57503	-15.88708	-0.44355
1.61003	-16.37647	-0.42897
1.64503	-15.93871	-0.41525
1.68003	-16.98485	-0.40256
1.71503	-18.82892	-0.39104
1.75003	-17.97169	-0.38089
1.78503	-18.93886	-0.37228
1.82003	-21.53091	-0.36542
1.85503	-20.60182	-0.36048
1.89003	-20.46683	-0.35763
1.92503	-22.80362	-0.35704
1.96003	-21.82828	-0.35884
1.99503	-21.73556	-0.36313
2.03003	-25.03068	-0.36998
2.06503	-25.25892	-0.37944
2.10003	-25.59916	-0.39148
2.13503	-31.49122	-0.40607
2.17003	-45.66733	-0.42311
2.20503	-35.11565	-0.44246
2.24003	-27.91326	-0.46395
2.27503	-26.58731	-0.48734
2.31003	-28.35576	-0.51237
2.34502	-23.59163	-0.53875
